model,n_target,c,gamma,D,rep,n,m,avg_deg,N2,P2,q,giant_frac,giant_n,giant_lambda2,core_frac,core_n,core_m,d_bar_core,core_lambda2,core_P2,q_core
ER,1000,2.0,,,1,1000,1003,2.006,289,0.289,0.288135593220339,0.821,821,0.01035952643186705,0.46,460,611,2.6565217391304348,0.03383869841140195,0.5673913043478261,0.42716857610474634
ER,1000,2.0,,,0,1000,1027,2.054,270,0.27,0.26290165530671866,0.795,795,0.015391755676090808,0.49,490,679,2.7714285714285714,0.046295111570592885,0.5265306122448979,0.3799705449189985
ER,1000,2.0,,,2,1000,1034,2.068,272,0.272,0.26305609284332687,0.824,824,0.015112319924711895,0.509,509,695,2.730844793713163,0.03609175286809132,0.5383104125736738,0.39424460431654673
ER,1000,2.0,,,3,1000,975,1.95,281,0.281,0.2882051282051282,0.803,803,0.012234675579957381,0.451,451,584,2.58980044345898,0.028983573790616984,0.5831485587583148,0.4503424657534246
ER,1000,2.4,,,0,1000,1254,2.508,253,0.253,0.20175438596491227,0.905,905,0.02638150556857528,0.668,668,1005,3.0089820359281436,0.04145306639017214,0.4116766467065868,0.27363184079601993
ER,1000,2.4,,,1,1000,1164,2.328,277,0.277,0.23797250859106533,0.857,857,0.01958018053262354,0.6,600,879,2.93,0.04721658935131381,0.4483333333333333,0.3060295790671217
ER,1000,2.4,,,3,1000,1239,2.478,260,0.26,0.20984665052461662,0.888,888,0.016613039098935165,0.649,649,983,3.0292758089368257,0.055443411078856523,0.4067796610169492,0.2685656154628688
ER,1000,2.4,,,2,1000,1221,2.442,260,0.26,0.21294021294021293,0.888,888,0.016069324850580446,0.625,625,936,2.9952,0.05188272775921909,0.4288,0.2863247863247863
ER,1000,2.8,,,0,1000,1374,2.748,241,0.241,0.17540029112081512,0.916,916,0.04061757378512391,0.702,702,1151,3.2792022792022792,0.07104401142823917,0.33760683760683763,0.2059079061685491
ER,1000,2.8,,,2,1000,1429,2.858,227,0.227,0.158852344296711,0.913,913,0.05105047779104174,0.735,735,1238,3.368707482993197,0.08945241558807167,0.33197278911564626,0.19709208400646205
ER,1000,2.8,,,1,1000,1418,2.836,277,0.277,0.19534555712270807,0.955,955,0.04710059544525065,0.766,766,1227,3.2036553524804177,0.07259201066657772,0.3785900783289817,0.23634881825590873
ER,1000,2.8,,,3,1000,1406,2.812,244,0.244,0.17354196301564723,0.933,933,0.03994803920393814,0.745,745,1214,3.2590604026845638,0.07117946191874787,0.3503355704697987,0.21499176276771007
ER,1000,3.2,,,0,1000,1570,3.14,212,0.212,0.13503184713375796,0.946,946,0.07369067218226287,0.805,805,1427,3.545341614906832,0.10101619207389782,0.2894409937888199,0.16327960756832516
ER,1000,3.2,,,1,1000,1561,3.122,224,0.224,0.14349775784753363,0.952,952,0.03708913021433412,0.804,804,1412,3.512437810945274,0.1026999544230168,0.2798507462686567,0.1593484419263456
ER,1000,3.2,,,3,1000,1527,3.054,199,0.199,0.1303208906352325,0.94,940,0.04401204401280155,0.763,763,1345,3.5255570117955437,0.10038965580492393,0.28833551769331583,0.16356877323420074
ER,1000,3.2,,,2,1000,1555,3.11,187,0.187,0.1202572347266881,0.931,931,0.02355631460479211,0.782,782,1401,3.5831202046035804,0.11248976560599273,0.2659846547314578,0.1484653818700928
ER,1000,3.6,,,1,1000,1714,3.428,179,0.179,0.1044340723453909,0.955,955,0.06270963238650801,0.83,830,1584,3.816867469879518,0.11151936881545359,0.22289156626506024,0.11679292929292928
