ensemble,γ,d_min,μ,n_target,rep,seed,graph_id,n,m,d̄,d_max,d_min_obs,n_comp,N₁,N₂,n_full,m_full,λ₂_full,λ₃_full,(λ₃−λ₂)_full,φ_periph_full,φ_mod_full,φ*_full,ρ*_full,ρ₂_full,logΔ_full,IPR₂_full,IPR₂^π_full,PR₂_full,frac_giant,n_giant,m_giant,λ₂_giant,λ₃_giant,(λ₃−λ₂)_giant,φ_periph_giant,φ_mod_giant,φ*_giant,ρ*_giant,ρ₂_giant,logΔ_giant,IPR₂_giant,IPR₂^π_giant,PR₂_giant,frac_2core,n_core,m_core,λ₂_core,λ₃_core,(λ₃−λ₂)_core,φ_periph_core,φ_mod_core,φ*_core,ρ*_core,ρ₂_core,logΔ_core,IPR₂_core,IPR₂^π_core,PR₂_core
pl_dmin2,2.5,2,,300000,1,12346,pl_dmin2_g2.5_n300000_d2_r1,300000,588315,3.9221,50,1,1,2,155823,300000,588315,0.03470924684936172,0.03526604384082965,0.0005567969914679338,0.1,0.39644372796752547,0.1,1.6997696812081963e-05,0.04803804084546544,1.3773639231171537,0.12367870606379079,0.1193812306774115,8.08546621990225,1.0,300000,588315,0.03470924684936949,0.03526604384082832,0.00055679699145883,0.1,0.39644372796752547,0.1,1.6997696812081963e-05,0.04803804084546544,1.3773639231171537,0.12367870606379079,0.11938123067741145,8.08546621990225,0.9999933333333333,299998,588313,0.03470924685455112,0.035266043846182704,0.0005567969916315807,0.1,0.39644372796752547,0.1,1.6997754596617786e-05,0.04803820415323136,1.3773639231171537,0.12367870607466684,0.11938123083062278,8.08546621919123
pl_dmin2,2.5,2,,300000,3,12348,pl_dmin2_g2.5_n300000_d2_r3,300000,587938,3.9195866666666666,50,1,1,1,156142,300000,587938,0.04112212855103281,0.04393479855440896,0.00281267000337615,0.1111111111111111,0.3897661145445637,0.1111111111111111,1.5307736530042282e-05,0.058550391367797286,1.255016151286037,0.1344140061470294,0.12865744981048496,7.439700881366078,1.0,300000,587938,0.04112212855102282,0.043934798554407406,0.0028126700033845875,0.1111111111111111,0.3897661145445637,0.1111111111111111,1.5307736530042282e-05,0.058550391367797286,1.255016151286037,0.1344140061470293,0.12865744981048474,7.4397008813660825,0.9999966666666666,299999,587937,0.04112212855275654,0.04393479855465299,0.0028126700018964446,0.1111111111111111,0.3897608691914938,0.1111111111111111,1.530776256639742e-05,0.05855049095396275,1.2550026935015612,0.1344140061425282,0.12865744978997168,7.439700881615216
pl_dmin2,2.5,2,,300000,2,12347,pl_dmin2_g2.5_n300000_d2_r2,300000,590727,3.93818,50,1,1,1,156171,300000,590727,0.042871346812487054,0.04456789516268245,0.0016965483501953926,0.125,0.3867816313176027,0.125,1.354263475344787e-05,0.0611212963009986,1.129546536311572,0.09654492662194797,0.09094969736352922,10.357872080796277,1.0,300000,590727,0.042871346812475064,0.04456789516268822,0.0016965483502131562,0.125,0.3867816313176027,0.125,1.354263475344787e-05,0.0611212963009986,1.129546536311572,0.09654492662194834,0.09094969736352945,10.357872080796236,0.9999933333333333,299998,590725,0.042871346819627565,0.04456789516379889,0.0016965483441713225,0.125,0.38677691040386775,0.125,1.3542680604342121e-05,0.06112150323754708,1.1295343306064307,0.09654492662423445,0.09094969727730066,10.35787208055097
pl_dmin2,2.5,2,,300000,0,12345,pl_dmin2_g2.5_n300000_d2_r0,300000,588798,3.92532,50,2,1,0,156208,300000,588798,0.040780387387697736,0.042915339642914496,0.00213495225521676,0.125,0.38729925682753613,0.125,1.3587002673242775e-05,0.058238988583521,1.1308839303617646,0.13286116974983944,0.12698524459288243,7.526653587973611,1.0,300000,588798,0.04078038738771439,0.04291533964295602,0.002134952255241629,0.125,0.38729925682753613,0.125,1.3587002673242775e-05,0.058238988583521,1.1308839303617646,0.13286116974983964,0.1269852445928829,7.5266535879736,1.0,300000,588798,0.040780387387701955,0.042915339642918715,0.00213495225521676,0.125,0.38729925682753613,0.125,1.3587002673242775e-05,0.058238988583521,1.1308839303617646,0.13286116974983964,0.1269852445928828,7.5266535879736
pl_dmin3,2.5,3,,300000,1,12346,pl_dmin3_g2.5_n300000_d3_r1,300000,900762,6.00508,50,2,1,0,1,300000,900762,0.19225443202273595,0.19890678181329813,0.006652349790562173,0.4146341463414634,0.31224965584617437,0.31224965584617437,0.49999888982883384,0.21308014769717196,-0.2835935095029467,0.08408748381361252,0.06481129115740249,11.892376304380686,1.0,300000,900762,0.1922544320227224,0.19890678181328814,0.006652349790565726,0.4146341463414634,0.31224965584617437,0.31224965584617437,0.49999888982883384,0.21308014769717196,-0.2835935095029467,0.08408748381361227,0.06481129115740224,11.892376304380722,1.0,300000,900762,0.19225443202272618,0.19890678181330346,0.006652349790577272,0.4146341463414634,0.31224965584617437,0.31224965584617437,0.49999888982883384,0.21308014769717196,-0.2835935095029467,0.08408748381361232,0.06481129115740233,11.892376304380713
pl_dmin3,2.5,3,,300000,2,12347,pl_dmin3_g2.5_n300000_d3_r2,300000,903532,6.023546666666666,50,2,1,0,5,300000,903532,0.19674679596677458,0.20859271192437356,0.011845915957598985,0.4146341463414634,0.3089975374228715,0.3089975374228715,0.49999612631317986,0.22167615535476332,-0.2940632489733266,0.08092723503228118,0.06169663070449656,12.356779514351487,1.0,300000,903532,0.1967467959667668,0.2085927119243669,0.011845915957600095,0.4146341463414634,0.3089975374228715,0.3089975374228715,0.49999612631317986,0.22167615535476332,-0.2940632489733266,0.08092723503228123,0.06169663070449664,12.356779514351478,1.0,300000,903532,0.19674679596677036,0.20859271192438,0.011845915957609643,0.4146341463414634,0.3089975374228715,0.3089975374228715,0.49999612631317986,0.22167615535476332,-0.2940632489733266,0.08092723503228111,0.0616966307044965,12.356779514351496
pl_dmin3,2.5,3,,300000,0,12345,pl_dmin3_g2.5_n300000_d3_r0,300000,901004,6.006693333333334,50,2,1,0,2,300000,901004,0.20336545128719696,0.20965106529926003,0.006285614012063068,0.4074074074074074,0.30249335456911525,0.30249335456911525,0.4999950055715624,0.23869094920777267,-0.29775437691315154,0.09177594579985623,0.0675183202813864,10.896101274518998,1.0,300000,901004,0.20336545128718675,0.2096510652992738,0.0062856140120870485,0.4074074074074074,0.30249335456911525,0.30249335456911525,0.4999950055715624,0.23869094920777267,-0.29775437691315154,0.09177594579985619,0.06751832028138637,10.896101274519003,1.0,300000,901004,0.2033654512871863,0.20965106529926514,0.006285614012078833,0.4074074074074074,0.30249335456911525,0.30249335456911525,0.4999950055715624,0.23869094920777267,-0.29775437691315154,0.09177594579985579,0.067518320281386,10.89610127451905
pl_dmin2,2.5,2,,300000,4,12349,pl_dmin2_g2.5_n300000_d2_r4,300000,589608,3.93072,50,1,1,1,156294,300000,589608,0.044422023239125474,0.04443343930159016,1.1416062464686405e-05,0.1111111111111111,0.38218131419026974,0.1111111111111111,1.5264379045060447e-05,0.06938932307567061,1.235364438829745,0.1339064173674529,0.12647236190896596,7.467901984532211,1.0,300000,589608,0.044422023239114816,0.04443343930160348,1.1416062488667222e-05,0.1111111111111111,0.38218131419026974,0.1111111111111111,1.5264379045060447e-05,0.06938932307567061,1.235364438829745,0.13390641740352177,0.12647236194272313,7.467901982520666,0.9999966666666666,299999,589607,0.04442202323940858,0.04443343930460908,1.1416065200497982e-05,0.1111111111111111,0.382176922967575,0.1111111111111111,1.5264404934134094e-05,0.06938944076308456,1.2353529488699817,0.13390641251506685,0.12647235737244875,7.4679022551476555
pl_dmin2,3.0,2,,300000,0,12345,pl_dmin2_g3.0_n300000_d2_r0,300000,465343,3.1022866666666666,50,1,1,2,185820,300000,465343,0.01644927833610299,0.01870190787020043,0.002252629534097439,0.07142857142857142,0.2856366902967925,0.07142857142857142,3.0085334903501287e-05,0.044746563287725395,1.386022740273062,0.08561249189723494,0.0841712443770522,11.680538410216482,1.0,300000,465343,0.016449278336106543,0.018701907870207757,0.0022526295341012137,0.07142857142857142,0.2856366902967925,0.07142857142857142,3.0085334903501287e-05,0.044746563287725395,1.386022740273062,0.08561249189723501,0.08417124437705228,11.680538410216473,0.9999933333333333,299998,465341,0.016449278340576745,0.01870190787681092,0.002252629536234174,0.07142857142857142,0.2856366902967925,0.07142857142857142,3.008546420796792e-05,0.04474675560502943,1.386022740273062,0.08561249190082218,0.08417124443507916,11.680538409727056
pl_dmin3,2.5,3,,300000,3,12348,pl_dmin3_g2.5_n300000_d3_r3,300000,900224,6.001493333333333,50,3,1,0,0,300000,900224,0.20307232639913697,0.20869756858221256,0.005625242183075585,0.41935483870967744,0.30227065960323163,0.30227065960323163,0.49999944458268164,0.23873835845300725,-0.327394592100701,0.08130841457972099,0.05982466835534697,12.298850065752093,1.0,300000,900224,0.2030723263991594,0.2086975685822292,0.005625242183069812,0.41935483870967744,0.30227065960323163,0.30227065960323163,0.49999944458268164,0.23873835845300725,-0.327394592100701,0.08130841457972125,0.059824668355347194,12.298850065752054,1.0,300000,900224,0.20307232639914963,0.20869756858221833,0.005625242183068702,0.41935483870967744,0.30227065960323163,0.30227065960323163,0.49999944458268164,0.23873835845300725,-0.327394592100701,0.08130841457972085,0.059824668355346874,12.298850065752115
