model,c,n_target,rep,seed,n,m,avg_deg,n_components,N1,N2,giant_frac,giant_n,giant_lambda2,giant_phi_star,giant_ipr2,core_frac,core_n,core_lambda2,core_phi_star,core_ipr2
ER,2,100,0,2100,100,105,2.1,16,23,33,0.83,83,0.025697061234919806,0.04950495049504951,0.031306300804213004,0.55,55,0.03606476577745232,0.07246376811594203,0.03830385758186294
ER,2,100,1,2101,100,85,1.7,21,29,29,0.76,76,0.005394207692524664,0.024390243902439025,0.037088022858074145,0.36,36,0.03102270987840525,0.05263157894736842,0.03713779169600805
ER,2,100,2,2102,100,111,2.22,14,27,27,0.83,83,0.05566115326652509,0.11475409836065574,0.03601414899178667,0.55,55,0.08163669428345585,0.14893617021276595,0.0482090820046972
ER,2,100,7,2107,100,80,1.6,26,25,34,0.7,70,0.005747471130318659,0.02040816326530612,0.034100996276899616,0.3,30,0.041491444362662146,0.1,0.07414324021378772
ER,2,100,5,2105,100,97,1.94,18,26,26,0.81,81,0.04579930367876405,0.07692307692307693,0.05681890393005406,0.5,50,0.07996452738831233,0.12903225806451613,0.037887407053153445
ER,2,100,6,2106,100,115,2.3,14,17,29,0.87,87,0.03378061164792199,0.09090909090909091,0.09305572372355228,0.66,66,0.051818259346145576,0.09090909090909091,0.0371079937562945
ER,2,100,4,2104,100,89,1.78,24,33,19,0.71,71,0.021750451977335043,0.05128205128205128,0.07109980160623215,0.36,36,0.038855508644530246,0.09090909090909091,0.09275399961099638
ER,2,100,3,2103,100,123,2.46,13,19,23,0.87,87,0.07626456076277938,0.12087912087912088,0.056985105857343864,0.67,67,0.10263914657837106,0.15217391304347827,0.055000059445703645
ER,2,100,8,2108,100,106,2.12,16,30,25,0.81,81,0.022718634721092628,0.06896551724137931,0.05514431253818687,0.46,46,0.040102333919480336,0.10344827586206896,0.08534433382098952
ER,2,100,9,2109,100,105,2.1,16,24,25,0.85,85,0.03123132805033117,0.06666666666666667,0.03922665723707457,0.5,50,0.05328678993248731,0.1,0.0511666657170615
ER,2,100,10,2110,100,111,2.22,13,20,32,0.85,85,0.037740663543883314,0.1111111111111111,0.09482895742235899,0.57,57,0.0704254382901386,0.13513513513513514,0.04743831683867337
ER,2,100,11,2111,100,111,2.22,13,26,29,0.84,84,0.047974740761364085,0.08163265306122448,0.025067522744972107,0.54,54,0.07352359360730573,0.10526315789473684,0.03386041413871426
ER,2,100,12,2112,100,94,1.88,20,31,24,0.74,74,0.033990215772478335,0.07692307692307693,0.08067344041444184,0.49,49,0.06848000765843958,0.0967741935483871,0.03373389527684186
ER,2,100,13,2113,100,98,1.96,16,34,21,0.84,84,0.02321939294025887,0.04225352112676056,0.028231414333309605,0.36,36,0.07023527206287625,0.125,0.0720093927672974
ER,2,100,14,2114,100,111,2.22,12,28,23,0.87,87,0.011543153865826014,0.04,0.08875569038644472,0.47,47,0.06849988862090599,0.14285714285714285,0.11148087173663501
ER,2,100,15,2115,100,112,2.24,13,23,24,0.85,85,0.03496626925215311,0.09090909090909091,0.11882541190990285,0.58,58,0.0819494564783683,0.13043478260869565,0.03856389660827245
ER,2,100,16,2116,100,82,1.64,26,26,28,0.73,73,0.0105939181466033,0.04,0.07487613205967408,0.28,28,0.06911443773820129,0.08571428571428572,0.0648123898070868
ER,2,100,17,2117,100,90,1.8,18,30,25,0.78,78,0.010898566984280768,0.04878048780487805,0.045620898603001434,0.36,36,0.05281418580599044,0.10526315789473684,0.07900361994830087
ER,2,100,18,2118,100,92,1.84,20,31,26,0.78,78,0.01433042141802471,0.047619047619047616,0.10754889877669536,0.39,39,0.05434310941041229,0.08333333333333333,0.050317925242204034
ER,2,100,19,2119,100,106,2.12,12,28,30,0.86,86,0.0321722409631572,0.09090909090909091,0.14868213928886143,0.52,52,0.07858072245773089,0.13043478260869565,0.05680601229147152
ER,2,200,4,2204,200,183,1.83,35,67,52,0.78,156,0.019779577680621573,0.04046242774566474,0.01245238434401068,0.41,82,0.03702050193329935,0.1,0.034643962794581463
ER,2,200,5,2205,200,216,2.16,29,52,50,0.83,166,0.025352427664152126,0.09375,0.09374732470697163,0.515,103,0.03223978990615056,0.1111111111111111,0.17561476618748736
ER,2,200,3,2203,200,198,1.98,29,54,64,0.785,157,0.020180736652503615,0.06422018348623854,0.03556563772646864,0.455,91,0.0,nan,nan
ER,2,200,1,2201,200,203,2.03,27,49,64,0.845,169,0.01749393351587314,0.0625,0.030630890541033323,0.515,103,0.027009261940755678,0.08333333333333333,0.07303550452656797
ER,2,200,2,2202,200,208,2.08,27,61,57,0.815,163,0.024701790297295835,0.07692307692307693,0.0760975407627683,0.525,105,0.04752039817243406,0.08955223880597014,0.020452088897552588
ER,2,200,0,2200,200,232,2.32,21,44,54,0.89,178,0.04369379464485538,0.12871287128712872,0.06907670676494738,0.61,122,0.06669742454027681,0.1393939393939394,0.060859490562194474
ER,2,200,6,2206,200,193,1.93,37,52,53,0.78,156,0.02302119034735135,0.06818181818181818,0.03475213629480571,0.495,99,0.03622764086346234,0.09090909090909091,0.03680834675695564
ER,2,200,11,2211,200,210,2.1,28,52,58,0.84,168,0.03171389736550168,0.07692307692307693,0.10608573671413239,0.49,98,0.06645596804832056,0.13432835820895522,0.03157690899977975
ER,2,200,12,2212,200,184,1.84,42,49,60,0.7,140,0.026415487661902805,0.078125,0.05715056964418514,0.415,83,0.05011206469719142,0.1111111111111111,0.047412554762971244
ER,2,200,13,2213,200,188,1.88,33,60,54,0.795,159,0.01331174350016555,0.047058823529411764,0.025958119433295568,0.46,92,0.024123355319559867,0.06060606060606061,0.030203170121216528
ER,2,200,7,2207,200,213,2.13,31,51,57,0.79,158,0.039269121362887564,0.10416666666666667,0.047645493162855525,0.55,110,0.05367514223124044,0.12751677852348994,0.050911334171812136
ER,2,200,14,2214,200,203,2.03,25,49,66,0.86,172,0.024125610572516273,0.0658682634730539,0.021146379547390848,0.54,108,0.03370673110998309,0.1076923076923077,0.05135213270750679
ER,2,200,10,2210,200,183,1.83,33,61,63,0.795,159,0.008075967400175408,0.043478260869565216,0.07652474195814665,0.365,73,0.025136736268001128,0.06493506493506493,0.02535501016127965
ER,2,200,15,2215,200,187,1.87,43,59,45,0.735,147,0.020139432388897652,0.06666666666666667,0.048716249389430595,0.41,82,0.04216617576891693,0.0958904109589041,0.039584831866270744
ER,2,200,8,2208,200,176,1.76,42,54,57,0.7,140,0.015308686812901444,0.046357615894039736,0.01665869699877574,0.42,84,0.02114922936838227,0.06,0.05329524019792342
ER,2,200,9,2209,200,216,2.16,28,52,52,0.805,161,0.018008528872459448,0.047619047619047616,0.10513564766907789,0.485,97,0.0841329440024556,0.1694915254237288,0.047452786389727566
ER,2,200,19,2219,200,214,2.14,28,52,50,0.85,170,0.010875341137315031,0.058823529411764705,0.0597666074083849,0.52,104,0.026024193276449753,0.1,0.08064825427354487
ER,2,200,16,2216,200,178,1.78,42,63,51,0.74,148,0.016663750013637228,0.05084745762711865,0.02278833556664904,0.365,73,0.02307879670828687,0.07692307692307693,0.11901574033889417
ER,2,200,18,2218,200,206,2.06,35,53,54,0.76,152,0.03360921525885768,0.09090909090909091,0.052175059992672516,0.495,99,0.045399170787606684,0.10606060606060606,0.0536371042225973
ER,2,500,0,2500,500,471,1.884,105,135,125,0.752,376,0.018140269053563293,0.061224489795918366,0.017843207593080716,0.454,227,0.0,nan,nan
ER,2,200,17,2217,200,215,2.15,28,49,57,0.825,165,0.029880547035753772,0.07142857142857142,0.015301857913029812,0.57,114,0.04289900045709252,0.09090909090909091,0.02677262187783699
ER,2,500,2,2502,500,465,1.86,89,143,142,0.738,369,0.008889269481587352,0.047619047619047616,0.0809672248221864,0.374,187,0.0,nan,nan
ER,2,500,5,2505,500,503,2.012,78,137,127,0.82,410,0.017052045916207247,0.07575757575757576,0.018762381472974318,0.486,243,0.033305861343361796,0.10526315789473684,0.023262926177899212
ER,2,500,1,2501,500,557,2.228,62,123,138,0.84,420,0.019021163943639702,0.06666666666666667,0.1163412187807702,0.544,272,0.04863897458445038,0.11538461538461539,0.014918692851906553
ER,2,500,4,2504,500,516,2.064,85,120,128,0.812,406,0.01909654487140807,0.07692307692307693,0.13558512250912208,0.506,253,0.04701027613595251,0.1225071225071225,0.061576836326357784
ER,2,500,6,2506,500,492,1.968,81,136,138,0.818,409,0.016609398406893405,0.05307855626326964,0.007188360022634893,0.486,243,0.027326823225837918,0.07744107744107744,0.013732364059839344
ER,2,500,3,2503,500,506,2.024,76,143,133,0.808,404,0.020178556712430455,0.06183368869936034,0.06769529633076359,0.492,246,0.03546332728534125,0.08208955223880597,0.01908691261920357
ER,2,500,7,2507,500,535,2.14,80,112,128,0.81,405,0.03532110890961624,0.14285714285714285,0.09357727991479212,0.566,283,0.05431529121689509,0.116751269035533,0.011953393599237841
ER,2,500,10,2510,500,500,2.0,82,148,132,0.78,390,0.016056408004802722,0.08450704225352113,0.08020269206666912,0.438,219,0.03867778531795077,0.10294117647058823,0.032276461045612145
ER,2,500,11,2511,500,489,1.956,86,144,131,0.786,393,0.011031777923394992,0.06666666666666667,0.06602723463796505,0.438,219,0.026269642598470023,0.09090909090909091,0.09508423451304049
ER,2,500,9,2509,500,480,1.92,90,141,132,0.782,391,0.014559179092473324,0.058823529411764705,0.056435144428684685,0.422,211,0.04772838594348152,0.0967741935483871,0.0182286053288408
ER,2,500,8,2508,500,515,2.06,78,125,136,0.814,407,0.019184967959939413,0.07142857142857142,0.06662453137366127,0.54,270,0.031045107420397986,0.1,0.05078066611929851
ER,2,500,12,2512,500,457,1.828,96,144,150,0.752,376,0.0077238626522641695,0.047619047619047616,0.04846526668999497,0.384,192,0.01927281115620872,0.06666666666666667,0.02507957074631914
ER,2,500,13,2513,500,463,1.852,96,139,154,0.73,365,0.011815407464763257,0.045454545454545456,0.05355315357473683,0.414,207,0.021627781461219936,0.07692307692307693,0.0660307241201468
