ensemble,gamma,d_min,observable,alpha_phi,r2_phi,n_points,in_cheeger_range
pl_dmin2,2.1,2.0,full,1.1531818218196992,0.697649813969891,199,True
pl_dmin2,2.1,2.0,giant,1.1611186968769778,0.7029128436249534,200,True
pl_dmin2,2.1,2.0,core,1.1531818293953342,0.6976498114069011,199,True
pl_dmin2,2.5,2.0,full,1.0828650631082686,0.7085055828787987,197,True
pl_dmin2,2.5,2.0,giant,1.088728373767311,0.7072725565989584,200,True
pl_dmin2,2.5,2.0,core,1.0887287585021572,0.7072724869769914,200,True
pl_dmin2,3.0,2.0,full,1.1040636809243694,0.6847072393086651,190,True
pl_dmin2,3.0,2.0,giant,1.0829357452984532,0.6697790833929348,200,True
pl_dmin2,3.0,2.0,core,1.084127171638376,0.6715231524703422,197,True
pl_dmin3,2.1,3.0,full,-1.4553462816264928,0.7914230906312922,200,False
pl_dmin3,2.1,3.0,giant,-1.455346281626511,0.7914230906313087,200,False
pl_dmin3,2.1,3.0,core,-1.4559997737406536,0.791501707613147,200,False
pl_dmin3,2.5,3.0,full,-1.3444931566989928,0.7994723977950887,200,False
pl_dmin3,2.5,3.0,giant,-1.3444931566988532,0.7994723977950848,200,False
pl_dmin3,2.5,3.0,core,-1.3445996311591544,0.7994175037251015,200,False
pl_dmin3,3.0,3.0,full,-1.1890300905748714,0.7784401286220597,200,False
pl_dmin3,3.0,3.0,giant,-1.1890300905749949,0.7784401286221672,200,False
pl_dmin3,3.0,3.0,core,-1.1885468686585632,0.7778609796042365,200,False
