ensemble,gamma,d_min,observable,alpha_phi,r2_phi,n_points,in_cheeger_range
pl_dmin2,2.1,2.0,full,1.1531818218196992,0.697649813969891,199,True
pl_dmin2,2.1,2.0,giant,1.1611186968769778,0.7029128436249534,200,True
pl_dmin2,2.1,2.0,core,1.1531818293953342,0.6976498114069011,199,True
pl_dmin2,2.5,2.0,full,1.0828650631082686,0.7085055828787987,197,True
pl_dmin2,2.5,2.0,giant,1.088728373767311,0.7072725565989584,200,True
pl_dmin2,2.5,2.0,core,1.0887287585021572,0.7072724869769914,200,True
pl_dmin2,3.0,2.0,full,0.7873791848359177,0.47668879551997334,94,True
pl_dmin2,3.0,2.0,giant,0.7525998249469135,0.45397174444993715,100,True
pl_dmin2,3.0,2.0,core,0.7572011748675253,0.4576841234940774,98,True
pl_dmin3,2.1,3.0,full,-1.4553462816264928,0.7914230906312922,200,False
pl_dmin3,2.1,3.0,giant,-1.455346281626511,0.7914230906313087,200,False
pl_dmin3,2.1,3.0,core,-1.4559997737406536,0.791501707613147,200,False
pl_dmin3,2.5,3.0,full,-1.2323102073944787,0.7337039134084111,102,False
pl_dmin3,2.5,3.0,giant,-1.2323102073943206,0.7337039134084353,102,False
pl_dmin3,2.5,3.0,core,-1.2324030774563257,0.7335696978277098,102,False
pl_dmin3,3.0,3.0,full,-1.0529351995783933,0.6938406566048816,100,False
pl_dmin3,3.0,3.0,giant,-1.0529351995782161,0.6938406566048662,100,False
pl_dmin3,3.0,3.0,core,-1.05154877527161,0.6925009723050568,100,False
