ensemble,γ,d_min,μ,n_target,rep,seed,graph_id,n,m,d̄,d_max,d_min_obs,n_comp,N₁,N₂,n_full,m_full,λ₂_full,λ₃_full,(λ₃−λ₂)_full,φ_periph_full,φ_mod_full,φ*_full,ρ*_full,ρ₂_full,logΔ_full,IPR₂_full,IPR₂^π_full,PR₂_full,frac_giant,n_giant,m_giant,λ₂_giant,λ₃_giant,(λ₃−λ₂)_giant,φ_periph_giant,φ_mod_giant,φ*_giant,ρ*_giant,ρ₂_giant,logΔ_giant,IPR₂_giant,IPR₂^π_giant,PR₂_giant,frac_2core,n_core,m_core,λ₂_core,λ₃_core,(λ₃−λ₂)_core,φ_periph_core,φ_mod_core,φ*_core,ρ*_core,ρ₂_core,logΔ_core,IPR₂_core,IPR₂^π_core,PR₂_core
pl_dmin2,2.1,2,,30000,2,12347,pl_dmin2_g2.1_n30000_d2_r2,30000,78129,5.2086,50,1,1,1,12818,30000,78129,0.08722001474051577,0.09772308177452116,0.010503067034005387,0.16666666666666666,0.46312367201699817,0.16666666666666666,7.679606804131629e-05,0.07991910814166314,1.0219983188524782,0.19171817169423536,0.16772344484965115,5.215989653786524,1.0,30000,78129,0.08722001474051932,0.0977230817745236,0.010503067034004276,0.16666666666666666,0.46312367201699817,0.16666666666666666,7.679606804131629e-05,0.07991910814166314,1.0219983188524782,0.19171817169423536,0.16772344484965118,5.215989653786524,0.9999666666666667,29999,78128,0.08722001494234943,0.09772308179886813,0.010503066856518695,0.16666666666666666,0.46310494451342044,0.16666666666666666,7.679705099324186e-05,0.07992013106696703,1.021957880664225,0.19171817187934043,0.16772345295558613,5.215989648750454
pl_dmin2,2.1,2,,30000,5,12350,pl_dmin2_g2.1_n30000_d2_r5,29999,77314,5.1544384812827095,50,1,1,2,12706,29999,77314,0.08382986895158195,0.09537067196036775,0.011540803008785794,0.15789473684210525,0.46512139281602877,0.15789473684210525,0.0001228755464728251,0.079830302403187,1.0803698428527817,0.1475541038014723,0.15910099649731585,6.777175112292756,1.0,29999,77314,0.0838298689515764,0.09537067196035576,0.011540803008779354,0.15789473684210525,0.46512139281602877,0.15789473684210525,0.0001228755464728251,0.079830302403187,1.0803698428527817,0.14755410380147216,0.15910099649731516,6.777175112292762,0.999933331111037,29997,77312,0.08382986947051352,0.09537067226692586,0.011540802796412342,0.15789473684210525,0.4651024420529801,0.15789473684210525,0.00012287872516556292,0.07983236754966887,1.080329098330139,0.14755410428461582,0.15910102589044484,6.777175090101925
pl_dmin2,2.1,2,,30000,4,12349,pl_dmin2_g2.1_n30000_d2_r4,30000,78122,5.2081333333333335,50,1,1,2,12698,30000,78122,0.08887283828788961,0.09302107094722234,0.004148232659332729,0.16666666666666666,0.4598870924382657,0.16666666666666666,7.680294923325056e-05,0.08340160262154067,1.014985198379816,0.19670550938209266,0.17677444614385238,5.083741696616842,1.0,30000,78122,0.08887283828788362,0.09302107094721879,0.0041482326593351715,0.16666666666666666,0.4598870924382657,0.16666666666666666,7.680294923325056e-05,0.08340160262154067,1.014985198379816,0.19670550938209266,0.1767744461438529,5.083741696616842,0.9999333333333333,29998,78120,0.08887284082919211,0.09302107141842142,0.004148230589229307,0.16666666666666666,0.4598919527869524,0.16666666666666666,7.680491551459293e-05,0.08339093701996927,1.0149957668934433,0.19670554358542022,0.1767746581212426,5.083740812651504
pl_dmin2,2.1,2,,30000,3,12348,pl_dmin2_g2.1_n30000_d2_r3,30000,77239,5.149266666666667,50,1,1,2,12846,30000,77239,0.0693094280079789,0.09127954746703892,0.021970119459060022,0.14285714285714285,0.480126362671224,0.14285714285714285,9.06277916596538e-05,0.06180815391188389,1.212204194894497,0.17536185541461827,0.1636335866689034,5.702494408693622,1.0,30000,77239,0.06930942800798645,0.09127954746704559,0.021970119459059134,0.14285714285714285,0.480126362671224,0.14285714285714285,9.06277916596538e-05,0.06180815391188389,1.212204194894497,0.17536185541461824,0.16363358666890335,5.702494408693623,0.9999333333333333,29998,77237,0.06930942834575604,0.09127954810828953,0.02197011976253349,0.14285714285714285,0.48011290071987156,0.14285714285714285,9.06301384051685e-05,0.061809754392324924,1.2121761561506827,0.17536185568451088,0.16363358666177144,5.702494399917135
pl_dmin2,2.1,2,,30000,1,12346,pl_dmin2_g2.1_n30000_d2_r1,30000,78800,5.253333333333333,50,1,1,1,12649,30000,78800,0.09646908750671468,0.10453196893389727,0.008062881427182589,0.16666666666666666,0.45727520781775494,0.16666666666666666,7.614213197969543e-05,0.08935279187817259,1.0092896051777727,0.20904315885565705,0.1841162991135211,4.783701152786796,1.0,30000,78800,0.0964690875067089,0.10453196893389527,0.008062881427186364,0.16666666666666666,0.45727520781775494,0.16666666666666666,7.614213197969543e-05,0.08935279187817259,1.0092896051777727,0.20904315885565708,0.18411629911352131,4.783701152786795,0.9999666666666667,29999,78799,0.09646908798655573,0.10453196948677279,0.008062881500217056,0.16666666666666666,0.45728209553784455,0.16666666666666666,7.614309826266831e-05,0.08935392581124126,1.009304667591171,0.20904316164404532,0.1841163426129322,4.783701088977887
pl_dmin2,2.1,2,,30000,0,12345,pl_dmin2_g2.1_n30000_d2_r0,30000,77005,5.133666666666667,50,2,1,0,12855,30000,77005,0.09396825090304195,0.09739299591633865,0.003424745013296704,0.2,0.4510506766409517,0.2,6.49308486461918e-05,0.09400688266995649,0.813262331699704,0.18499312385251904,0.15749238752597827,5.405606322952976,1.0,30000,77005,0.09396825090304572,0.0973929959163411,0.0034247450132953716,0.2,0.4510506766409517,0.2,9.73962729692877e-05,0.09400688266995649,0.813262331699704,0.1849931238525217,0.1574923875259802,5.405606322952899,1.0,30000,77005,0.09396825090305128,0.09739299591633999,0.0034247450132887103,0.2,0.4510506766409517,0.2,9.73962729692877e-05,0.09400688266995649,0.813262331699704,0.18499312385251881,0.1574923875259774,5.405606322952983
pl_dmin2,2.1,2,,30000,6,12351,pl_dmin2_g2.1_n30000_d2_r6,30000,76491,5.0994,50,1,1,2,12755,30000,76491,0.07222336872364643,0.0873786775009937,0.015155308777347276,0.15789473684210525,0.4742057785331416,0.15789473684210525,0.0001241976180204207,0.06592932501862964,1.0997127709297296,0.1317593241320964,0.13629923819913337,7.5895957010028505,1.0,30000,76491,0.07222336872364576,0.08737867750097883,0.015155308777333065,0.15789473684210525,0.4742057785331416,0.15789473684210525,0.0001241976180204207,0.06592932501862964,1.0997127709297296,0.13175932413209634,0.13629923819913295,7.589595701002854,0.9999333333333333,29998,76489,0.07222336901323345,0.08737867800506938,0.015155308991835925,0.15789473684210525,0.4742113038817054,0.15789473684210525,0.0001242008654839258,0.06593104890899346,1.0997244226569416,0.13175932375600177,0.13629925115118754,7.5895957226666395
pl_dmin2,2.1,2,,30000,9,12354,pl_dmin2_g2.1_n30000_d2_r9,30000,77436,5.1624,50,1,1,1,12902,30000,77436,0.06998417446580607,0.07641582161046201,0.006431647144655939,0.17647058823529413,0.47951184864725255,0.17647058823529413,0.0001097680665323622,0.06215455343767757,0.9996143808459637,0.1608645892563576,0.14359870110082318,6.216408499986136,1.0,30000,77436,0.0699841744658054,0.07641582161044802,0.006431647144642616,0.17647058823529413,0.47951184864725255,0.17647058823529413,0.0001097680665323622,0.06215455343767757,0.9996143808459637,0.1608645892563575,0.1435987011008237,6.216408499986141,0.9999666666666667,29999,77435,0.06998417478804253,0.07641582198845698,0.006431647200414448,0.17647058823529413,0.47950512694681924,0.17647058823529413,0.0001097694840834248,0.06215535610512042,0.9996003629492956,0.16086459030611108,0.14359871109660408,6.216408459419743
pl_dmin2,2.1,2,,30000,10,12355,pl_dmin2_g2.1_n30000_d2_r10,30000,76567,5.104466666666666,50,1,1,2,12815,30000,76567,0.09328658813472424,0.0951950509012427,0.0019084627665184595,0.16666666666666666,0.4492333411697098,0.16666666666666666,7.836274112868469e-05,0.088203795368762,0.9915466337968107,0.18837765412109891,0.1611880222012664,5.308485258857445,1.0,30000,76567,0.09328658813472446,0.09519505090123759,0.0019084627665131304,0.16666666666666666,0.4492333411697098,0.16666666666666666,7.836274112868469e-05,0.088203795368762,0.9915466337968107,0.18837765412109647,0.16118802220126435,5.308485258857514,0.9999333333333333,29998,76565,0.09328658915311139,0.09519505145319984,0.0019084623000884537,0.16666666666666666,0.4492711979520401,0.16666666666666666,7.83647880885522e-05,0.08819303859465813,0.9916308999984923,0.18837766810527645,0.16118810090506677,5.308484864783131
pl_dmin2,2.1,2,,30000,7,12352,pl_dmin2_g2.1_n30000_d2_r7,30000,76784,5.118933333333334,50,1,1,2,12671,30000,76784,0.09121531772534142,0.10551456426537809,0.01429924654003667,0.2,0.45129654471809433,0.2,6.511773286101271e-05,0.0876028860179204,0.8138072839695342,0.17320782498154347,0.1440102665277978,5.773411219190341,1.0,30000,76784,0.09121531772533964,0.10551456426537542,0.014299246540035782,0.2,0.45129654471809433,0.2,6.511773286101271e-05,0.0876028860179204,0.8138072839695342,0.17320782498154347,0.14401026652779778,5.773411219190341,0.9999333333333333,29998,76782,0.09121531926658588,0.10551456546291527,0.014299246196329385,0.2,0.4513318137414523,0.2,6.511942903284623e-05,0.08763772759240447,0.8138854313555439,0.17320783511442853,0.14401030798631756,5.7734108814382274
pl_dmin2,2.1,2,,30000,8,12353,pl_dmin2_g2.1_n30000_d2_r8,30000,76778,5.118533333333334,50,1,1,2,12849,30000,76778,0.10298400433972232,0.11482575622700453,0.011841751887282204,0.2,0.4402355147978324,0.2,6.512282164161609e-05,0.09997004350204486,0.7889924780674146,0.1977998831952848,0.1628520582113804,5.055614714457214,1.0,30000,76778,0.10298400433972765,0.11482575622700208,0.011841751887274432,0.2,0.4402355147978324,0.2,6.512282164161609e-05,0.09997004350204486,0.7889924780674146,0.19779988319528477,0.16285205821138085,5.0556147144572146,0.9999333333333333,29998,76776,0.10298400594444268,0.1148257580391221,0.011841752094679414,0.2,0.4402209311413907,0.2,6.512451807856622e-05,0.099972647702407,0.7889593505765312,0.19779989502536494,0.16285210593155441,5.055614412089373
pl_dmin2,2.1,2,,30000,11,12356,pl_dmin2_g2.1_n30000_d2_r11,30000,77710,5.180666666666666,50,1,1,3,12646,30000,77710,0.07642071103888859,0.07847266501565309,0.002051953976764498,0.16666666666666666,0.47584360762914724,0.16666666666666666,7.721014026508815e-05,0.07038347702998327,1.0490934350902357,0.1798601864770022,0.16508770588975832,5.559874142173565,1.0,30000,77710,0.07642071103888215,0.07847266501565797,0.002051953976775822,0.16666666666666666,0.47584360762914724,0.16666666666666666,7.721014026508815e-05,0.07038347702998327,1.0490934350902357,0.1798601864769995,0.16508770588975635,5.559874142173649,0.9999,29997,77707,0.07642071131151984,0.07847266605975767,0.0020519547482378275,0.16666666666666666,0.4758301158301158,0.16666666666666666,7.721312108304272e-05,0.07038619429395035,1.0490650812569844,0.17986018485865019,0.1650877068181487,5.559874192200387
