ensemble,gamma,d_min,n_points,alpha_full,r2_full,alpha_giant,r2_giant,alpha_core,r2_core
pl_dmin1,2.1,1.0,6,nan,nan,0.26780541729285334,0.9896746858618684,0.158363924238393,0.9797555582849019
pl_dmin1,2.5,1.0,6,nan,nan,0.40131538834906466,0.9661233710898922,0.4360595782998616,0.8679129619996486
pl_dmin1,3.0,1.0,6,nan,nan,1.099580635243774,0.9942738744941533,0.7784159641345314,0.9083099671039594
pl_dmin2,2.1,2.0,8,0.14789466887055516,0.9934135123697094,0.14960525578343925,0.9956953229076568,0.15010409566137048,0.9962318867035582
pl_dmin2,2.5,2.0,8,0.16110415958096494,0.9912850819094976,0.15800304947597418,0.9967210375962436,0.15971101044490185,0.9979622849184244
pl_dmin2,3.0,2.0,8,0.16659194695677196,0.9742722329300861,0.1707597395992239,0.9954550617016529,0.1724497488319229,0.9928963530823934
pl_dmin3,2.1,3.0,8,0.03741016983371465,0.9941801922573601,0.03741016983371406,0.9941801922573595,0.03747234031405107,0.9941087861997231
pl_dmin3,2.5,3.0,8,0.03453270257763002,0.9906619782158184,0.034532702577630275,0.9906619782158196,0.0349937358562204,0.989468963965626
pl_dmin3,3.0,3.0,8,0.02945961921814277,0.9551635152514302,0.029459619218142354,0.9551635152514214,0.030488433255148,0.9541345738124659
planted_dmin1_mu0.05,2.1,1.0,6,nan,nan,0.11246419032108812,0.9691354986202562,0.10333503952135711,0.7162614175654127
planted_dmin1_mu0.05,2.5,1.0,6,nan,nan,0.37568461133927983,0.8284772179737167,0.5106001747614679,0.7483761834077222
planted_dmin1_mu0.05,3.0,1.0,6,nan,nan,1.17757389906624,0.9894694929081783,0.9679297741019799,0.9640130113018198
planted_dmin1_mu0.1,2.1,1.0,6,nan,nan,0.20725424373464807,0.9595704526895369,0.10085444529636753,0.8453846116641608
planted_dmin1_mu0.1,2.5,1.0,6,nan,nan,0.33893991432404913,0.9097347920843036,0.41888457247273503,0.7467219899545556
planted_dmin1_mu0.1,3.0,1.0,6,nan,nan,1.0884302401595811,0.9883939952000335,0.8389937523114657,0.8705838142613879
planted_dmin1_mu0.2,2.1,1.0,6,nan,nan,0.24237014765858453,0.9824949633659759,0.1521825752606233,0.9936846532314098
planted_dmin1_mu0.2,2.5,1.0,6,nan,nan,0.40103165099389243,0.9431395820029952,0.4470918549795145,0.801991298129637
