ensemble,gamma,d_min,observable,alpha_phi,r2_phi,n_points,in_cheeger_range
pl_dmin1,2.1,1.0,full,nan,nan,0,False
pl_dmin1,2.1,1.0,giant,1.189660388027174,0.7430058372882917,300,True
pl_dmin1,2.1,1.0,core,1.4294137771103017,0.6602210589772126,299,True
pl_dmin1,2.5,1.0,full,nan,nan,0,False
pl_dmin1,2.5,1.0,giant,1.0892970047818227,0.5311289528430931,300,True
pl_dmin1,2.5,1.0,core,1.6453235887969335,0.8198911322614,291,True
pl_dmin1,3.0,1.0,full,nan,nan,0,False
pl_dmin1,3.0,1.0,giant,1.427515567438663,0.9314660917311772,300,True
pl_dmin1,3.0,1.0,core,1.6056046640895514,0.971409239249681,182,True
pl_dmin2,2.1,2.0,full,1.408429761022912,0.8480116319220635,495,True
pl_dmin2,2.1,2.0,giant,1.4081237902033057,0.8464603657457619,500,True
pl_dmin2,2.1,2.0,core,1.4078055247670727,0.8483709784899462,498,True
pl_dmin2,2.5,2.0,full,1.4610640893302784,0.8559352742852496,488,True
pl_dmin2,2.5,2.0,giant,1.452822578719259,0.8537343373848041,500,True
pl_dmin2,2.5,2.0,core,1.4584840310109264,0.8522517727487874,500,True
pl_dmin2,3.0,2.0,full,1.524193073945554,0.814619361529261,469,True
pl_dmin2,3.0,2.0,giant,1.5045453840939325,0.8142166163856995,500,True
pl_dmin2,3.0,2.0,core,1.5201513274828091,0.8185552428145785,493,True
pl_dmin3,2.1,3.0,full,-1.2327749059939195,0.427665168247485,500,False
pl_dmin3,2.1,3.0,giant,-1.2327749059939057,0.42766516824748513,500,False
pl_dmin3,2.1,3.0,core,-1.231742753525505,0.41859730951044716,500,False
pl_dmin3,2.5,3.0,full,-0.6868855464152926,0.1596164567806122,500,False
pl_dmin3,2.5,3.0,giant,-0.6868855464152949,0.15961645678061265,500,False
pl_dmin3,2.5,3.0,core,-0.7274379262102444,0.17174897266886402,500,False
pl_dmin3,3.0,3.0,full,0.08514269461322686,0.0029912613485744144,500,False
pl_dmin3,3.0,3.0,giant,0.08514269461323368,0.0029912613485747475,500,False
pl_dmin3,3.0,3.0,core,0.11101433459564193,0.004844666713158974,500,False
planted_dmin1_mu0.05,2.1,1.0,full,nan,nan,0,False
planted_dmin1_mu0.05,2.1,1.0,giant,0.44378020571706545,0.1931224745857133,300,False
planted_dmin1_mu0.05,2.1,1.0,core,0.831135901247863,0.8179646625778367,298,True
planted_dmin1_mu0.05,2.5,1.0,full,nan,nan,0,False
planted_dmin1_mu0.05,2.5,1.0,giant,1.0158185554528756,0.6153439791914171,300,True
planted_dmin1_mu0.05,2.5,1.0,core,1.2454437900414346,0.9357223976477638,275,True
planted_dmin1_mu0.05,3.0,1.0,full,nan,nan,0,False
planted_dmin1_mu0.05,3.0,1.0,giant,1.3384004584584483,0.9556057315571309,300,True
planted_dmin1_mu0.05,3.0,1.0,core,1.5487359064378825,0.973922240999938,161,True
planted_dmin1_mu0.1,2.1,1.0,full,nan,nan,0,False
planted_dmin1_mu0.1,2.1,1.0,giant,0.824168050289873,0.33058282506201775,300,True
planted_dmin1_mu0.1,2.1,1.0,core,0.6446220973599073,0.37800438807952097,298,False
planted_dmin1_mu0.1,2.5,1.0,full,nan,nan,0,False
planted_dmin1_mu0.1,2.5,1.0,giant,0.7912603609154569,0.348762290512603,300,True
planted_dmin1_mu0.1,2.5,1.0,core,1.3194210494908485,0.8069456102796256,285,True
planted_dmin1_mu0.1,3.0,1.0,full,nan,nan,0,False
