=== α в λ₂ ~ n^(−α)  (R², точек n) ===
      ensemble     γ  dmin    α(G)    R²  α(giant)    R²  α(core)    R²
      pl_dmin1   2.1   1.0     nan   nan     0.268  0.99    0.158  0.98
      pl_dmin1   2.5   1.0     nan   nan     0.401  0.97    0.436  0.87
      pl_dmin1   3.0   1.0     nan   nan     1.100  0.99    0.778  0.91
      pl_dmin2   2.1   2.0   0.148  0.99     0.150  1.00    0.150  1.00
      pl_dmin2   2.5   2.0   0.161  0.99     0.158  1.00    0.160  1.00
      pl_dmin2   3.0   2.0   0.167  0.97     0.171  1.00    0.172  0.99
      pl_dmin3   2.1   3.0   0.037  0.99     0.037  0.99    0.037  0.99
      pl_dmin3   2.5   3.0   0.035  0.99     0.035  0.99    0.035  0.99
      pl_dmin3   3.0   3.0   0.029  0.96     0.029  0.96    0.030  0.95
planted_dmin1_mu0.05   2.1   1.0     nan   nan     0.112  0.97    0.103  0.72
planted_dmin1_mu0.05   2.5   1.0     nan   nan     0.376  0.83    0.511  0.75
planted_dmin1_mu0.05   3.0   1.0     nan   nan     1.178  0.99    0.968  0.96
planted_dmin1_mu0.1   2.1   1.0     nan   nan     0.207  0.96    0.101  0.85
planted_dmin1_mu0.1   2.5   1.0     nan   nan     0.339  0.91    0.419  0.75
planted_dmin1_mu0.1   3.0   1.0     nan   nan     1.088  0.99    0.839  0.87
planted_dmin1_mu0.2   2.1   1.0     nan   nan     0.242  0.98    0.152  0.99
planted_dmin1_mu0.2   2.5   1.0     nan   nan     0.401  0.94    0.447  0.80
planted_dmin1_mu0.2   3.0   1.0     nan   nan     1.100  1.00    0.790  0.88
planted_dmin1_mu0.3   2.1   1.0     nan   nan     0.271  1.00    0.181  0.99
planted_dmin1_mu0.3   2.5   1.0     nan   nan     0.360  0.99    0.479  0.87
planted_dmin1_mu0.3   3.0   1.0     nan   nan     1.054  1.00    0.742  0.93
planted_dmin2_mu0.05   2.1   2.0   0.037  0.74     0.035  0.78    0.035  0.85
planted_dmin2_mu0.05   2.5   2.0   0.063  0.63     0.054  0.86    0.029  0.43
planted_dmin2_mu0.05   3.0   2.0   0.124  0.90     0.105  0.91    0.054  0.82
planted_dmin2_mu0.1   2.1   2.0   0.123  0.87     0.092  0.92    0.065  0.96
planted_dmin2_mu0.1   2.5   2.0   0.149  0.95     0.130  0.97    0.105  0.97
planted_dmin2_mu0.1   3.0   2.0   0.209  0.97     0.179  0.98    0.136  0.99
planted_dmin2_mu0.2   2.1   2.0   0.172  0.98     0.168  0.99    0.141  1.00
planted_dmin2_mu0.2   2.5   2.0   0.213  0.92     0.183  0.96    0.151  0.98
planted_dmin2_mu0.2   3.0   2.0   0.229  0.99     0.210  0.99    0.183  1.00
planted_dmin2_mu0.3   2.1   2.0   0.224  0.98     0.204  0.99    0.171  0.99
planted_dmin2_mu0.3   2.5   2.0   0.223  0.99     0.196  1.00    0.164  0.99
planted_dmin2_mu0.3   3.0   2.0   0.273  0.98     0.235  0.99    0.184  0.98
planted_dmin3_mu0.05   2.1   3.0   0.034  0.71     0.034  0.71    0.034  0.71
planted_dmin3_mu0.05   2.5   3.0   0.032  0.80     0.032  0.80    0.033  0.81
planted_dmin3_mu0.05   3.0   3.0   0.016  0.68     0.016  0.68    0.016  0.68
planted_dmin3_mu0.1   2.1   3.0   0.031  0.77     0.031  0.77    0.031  0.77
planted_dmin3_mu0.1   2.5   3.0   0.022  0.86     0.022  0.86    0.022  0.86
planted_dmin3_mu0.1   3.0   3.0   0.019  0.78     0.019  0.78    0.019  0.78
planted_dmin3_mu0.2   2.1   3.0   0.017  0.98     0.017  0.98    0.017  0.98
planted_dmin3_mu0.2   2.5   3.0   0.018  0.93     0.018  0.93    0.017  0.93
planted_dmin3_mu0.2   3.0   3.0   0.021  0.94     0.021  0.94    0.021  0.94
planted_dmin3_mu0.3   2.1   3.0   0.044  0.99     0.044  0.99    0.043  0.99
planted_dmin3_mu0.3   2.5   3.0   0.042  0.96     0.042  0.96    0.042  0.97
planted_dmin3_mu0.3   3.0   3.0   0.042  0.95     0.042  0.95    0.041  0.95

=== α в λ₂ ~ (φ*)^α  (giant; Cheeger ⇒ ожидаем α∈[1,2]) ===
      ensemble     γ    obs      α_φ    R²  в [1,2]
      pl_dmin1   2.1   full      nan   nan    False
      pl_dmin1   2.1  giant    1.190  0.74     True
      pl_dmin1   2.1   core    1.429  0.66     True
      pl_dmin1   2.5   full      nan   nan    False
      pl_dmin1   2.5  giant    1.089  0.53     True
      pl_dmin1   2.5   core    1.645  0.82     True
      pl_dmin1   3.0   full      nan   nan    False
      pl_dmin1   3.0  giant    1.428  0.93     True
      pl_dmin1   3.0   core    1.606  0.97     True
      pl_dmin2   2.1   full    1.408  0.85     True
      pl_dmin2   2.1  giant    1.408  0.85     True
      pl_dmin2   2.1   core    1.408  0.85     True
      pl_dmin2   2.5   full    1.461  0.86     True
      pl_dmin2   2.5  giant    1.453  0.85     True
      pl_dmin2   2.5   core    1.458  0.85     True
      pl_dmin2   3.0   full    1.524  0.81     True
      pl_dmin2   3.0  giant    1.505  0.81     True
      pl_dmin2   3.0   core    1.520  0.82     True
      pl_dmin3   2.1   full   -1.233  0.43    False
      pl_dmin3   2.1  giant   -1.233  0.43    False
      pl_dmin3   2.1   core   -1.232  0.42    False
      pl_dmin3   2.5   full   -0.687  0.16    False
      pl_dmin3   2.5  giant   -0.687  0.16    False
      pl_dmin3   2.5   core   -0.727  0.17    False
      pl_dmin3   3.0   full    0.085  0.00    False
      pl_dmin3   3.0  giant    0.085  0.00    False
      pl_dmin3   3.0   core    0.111  0.00    False
planted_dmin1_mu0.05   2.1   full      nan   nan    False
planted_dmin1_mu0.05   2.1  giant    0.444  0.19    False
planted_dmin1_mu0.05   2.1   core    0.831  0.82     True
planted_dmin1_mu0.05   2.5   full      nan   nan    False
planted_dmin1_mu0.05   2.5  giant    1.016  0.62     True
planted_dmin1_mu0.05   2.5   core    1.245  0.94     True
planted_dmin1_mu0.05   3.0   full      nan   nan    False
planted_dmin1_mu0.05   3.0  giant    1.338  0.96     True
planted_dmin1_mu0.05   3.0   core    1.549  0.97     True
planted_dmin1_mu0.1   2.1   full      nan   nan    False
planted_dmin1_mu0.1   2.1  giant    0.824  0.33     True
planted_dmin1_mu0.1   2.1   core    0.645  0.38    False
planted_dmin1_mu0.1   2.5   full      nan   nan    False
planted_dmin1_mu0.1   2.5  giant    0.791  0.35     True
planted_dmin1_mu0.1   2.5   core    1.319  0.81     True
planted_dmin1_mu0.1   3.0   full      nan   nan    False
planted_dmin1_mu0.1   3.0  giant    1.378  0.95     True
planted_dmin1_mu0.1   3.0   core    1.586  0.97     True
planted_dmin1_mu0.2   2.1   full      nan   nan    False
planted_dmin1_mu0.2   2.1  giant    1.080  0.67     True
planted_dmin1_mu0.2   2.1   core    0.968  0.29     True
planted_dmin1_mu0.2   2.5   full      nan   nan    False
planted_dmin1_mu0.2   2.5  giant    1.178  0.60     True
planted_dmin1_mu0.2   2.5   core    1.610  0.86     True
planted_dmin1_mu0.2   3.0   full      nan   nan    False
planted_dmin1_mu0.2   3.0  giant    1.391  0.94     True
planted_dmin1_mu0.2   3.0   core    1.599  0.97     True
planted_dmin1_mu0.3   2.1   full      nan   nan    False
planted_dmin1_mu0.3   2.1  giant    1.139  0.74     True
planted_dmin1_mu0.3   2.1   core    1.342  0.53     True
planted_dmin1_mu0.3   2.5   full      nan   nan    False
planted_dmin1_mu0.3   2.5  giant    1.099  0.58     True
planted_dmin1_mu0.3   2.5   core    1.639  0.86     True
planted_dmin1_mu0.3   3.0   full      nan   nan    False
planted_dmin1_mu0.3   3.0  giant    1.399  0.93     True
planted_dmin1_mu0.3   3.0   core    1.602  0.96     True
planted_dmin2_mu0.05   2.1   full    0.516  0.38    False
planted_dmin2_mu0.05   2.1  giant    0.525  0.39    False
planted_dmin2_mu0.05   2.1   core    0.508  0.41    False
planted_dmin2_mu0.05   2.5   full    0.400  0.13    False
planted_dmin2_mu0.05   2.5  giant    0.374  0.10    False
planted_dmin2_mu0.05   2.5   core    0.514  0.27    False
planted_dmin2_mu0.05   3.0   full    0.328  0.06    False
planted_dmin2_mu0.05   3.0  giant    0.325  0.06    False
planted_dmin2_mu0.05   3.0   core    0.347  0.12    False
planted_dmin2_mu0.1   2.1   full   -0.198  0.03    False
planted_dmin2_mu0.1   2.1  giant   -0.209  0.03    False
planted_dmin2_mu0.1   2.1   core   -0.097  0.01    False
