model,dbar,p2,q,alpha_giant,r2_giant,alpha_core,r2_core
pl_g2.5_D3,2.266711401762248,0.7331733466975515,0.6469048914895369,0.10617730504139254,0.9985598887907624,0.09551744087475314,0.9182130361258163
pl_g2.5_D4,2.466028614056471,0.6491521301188254,0.5264757484310035,0.10141016988270005,0.9996121396682826,0.10142058959777027,0.9896987489655122
pl_g2.5_D5,2.6220204354966676,0.6094930465341689,0.46490335337048405,0.13019771598293067,0.9955006884062365,0.155056451301074,0.9859607388987135
pl_g2.5_D8,2.9430843725306732,0.5624900437432933,0.3822452723362629,0.14559886523645416,0.9885581390326325,0.14561989628465347,0.9885783898023318
pl_g2.5_D15,3.3396838704081317,0.5350270261267964,0.3204057910196228,0.1423543076040199,0.9706080975302436,0.14245946584205216,0.9369663857701104
pl_g2.5_D50,3.9087790467366688,0.5217213175200743,0.2669484825220013,0.16414979475751953,0.9818723148921702,0.16415454462768486,0.9423628284619551
two23_p0.4,2.6004838079767554,0.3994126909731434,0.30718337083890324,0.04022755100614228,0.9492820893380498,0.04466195624404949,0.9899137502903117
two23_p0.6,2.3996168475847073,0.6003198996547175,0.5003464617769784,0.08658904770662232,0.9810257368133515,0.07240217570114618,0.9710953031973859
two23_p0.8,2.199811044248468,0.8001489557290317,0.7274706232801831,0.11938380804381532,0.9931810293771748,0.09146919001589088,0.99527947192465
b234_p0.5,2.7492517960527083,0.5004018759563383,0.3640276795852603,0.0929059633764847,0.9189112068818803,0.09352205008645696,0.9792840281613746
b234_p0.7,2.4500813873895515,0.699896347681636,0.5713249782509007,0.13259589653987047,0.9952362420296664,0.09763315245460746,0.8553867173733574
unif_D3,2.4993692649115333,0.5005674850859669,0.40055504571765216,0.06734049824922166,0.9420836952246174,0.06603977740504943,0.9632934572287734
unif_D4,2.999924288836211,0.33349114829402776,0.222333043227169,0.06939044182154078,0.9891428256524527,0.06945973593934342,0.9892717183327984
unif_D5,3.5007349383701225,0.24997380292714041,0.14281218505707466,0.06009555265140356,0.9555313075557686,0.06079374836254678,0.9538865451373332
unif_D6,4.002368,0.19889700000000002,0.09938966132049828,0.08086266831856637,0.9746475926590064,0.08089456177520953,0.9747340429020662
unif_D8,4.9990565,0.1429785,0.057202194054017996,0.06897543317268168,0.9993240740258765,0.06898015585922085,0.9993240147525686
unif_D12,7.002018,0.0904275,0.025828982444775207,0.07572372783768008,0.9814292232209565,0.07572671643567688,0.9814366657728326
unif_D20,10.99268,0.052693750000000004,0.009587061571882381,0.0638688507629742,0.9604561553044746,0.063935679644274,0.9607607597393617
