model,kind,gamma,D,p2_target,n_target,rep,n,m,avg_deg,N1,N2,p2_emp,giant_frac,giant_lambda2,core_frac,core_n,core_lambda2
pl_g2.5_D3,pl,2.5,3,,1000,2,1000,1135,2.27,0,730,0.73,1.0,0.007952095687556181,1.0,1000,0.007952095687556181
pl_g2.5_D3,pl,2.5,3,,1000,3,1000,1139,2.278,0,723,0.723,1.0,0.008142258525839286,1.0,1000,0.008142258525839286
pl_g2.5_D3,pl,2.5,3,,1000,1,1000,1126,2.252,1,746,0.746,1.0,0.006619497228434141,0.998,998,0.006626397263977381
pl_g2.5_D3,pl,2.5,3,,1000,0,1000,1143,2.286,0,714,0.714,1.0,0.008862354535866021,1.0,1000,0.008862354535866021
pl_g2.5_D3,pl,2.5,3,,1000,4,1000,1132,2.264,1,734,0.734,1.0,0.007920178287662663,0.997,997,0.007925650408208374
pl_g2.5_D3,pl,2.5,3,,1000,5,1000,1136,2.272,0,728,0.728,1.0,0.008244037980265064,1.0,1000,0.008244037980265064
pl_g2.5_D3,pl,2.5,3,,1000,7,999,1129,2.26026026026026,0,739,0.7397397397397397,1.0,0.007365458398448037,1.0,999,0.007365458398448037
pl_g2.5_D3,pl,2.5,3,,1000,6,999,1141,2.284284284284284,0,715,0.7157157157157157,1.0,0.008458665187785248,1.0,999,0.008458665187785248
pl_g2.5_D3,pl,2.5,3,,1000,8,1000,1138,2.276,1,722,0.722,1.0,0.007724078539407151,0.998,998,0.007724091412768378
pl_g2.5_D3,pl,2.5,3,,1000,9,1000,1132,2.264,0,736,0.736,1.0,0.00676947374279856,1.0,1000,0.00676947374279856
pl_g2.5_D3,pl,2.5,3,,1000,10,999,1141,2.284284284284284,1,714,0.7147147147147147,1.0,0.006020771652440023,0.997997997997998,997,0.00602079712882277
pl_g2.5_D3,pl,2.5,3,,1000,11,999,1135,2.2722722722722724,1,725,0.7257257257257257,1.0,0.00849279215936645,0.998998998998999,998,0.008499801247483554
pl_g2.5_D3,pl,2.5,3,,1000,16,1000,1140,2.28,0,720,0.72,0.997,0.007429563511201291,1.0,1000,0.0
pl_g2.5_D3,pl,2.5,3,,1000,15,1000,1131,2.262,2,734,0.734,0.998,0.007027219977605831,0.998,998,0.007027219977605831
pl_g2.5_D3,pl,2.5,3,,1000,12,1000,1119,2.238,3,756,0.756,1.0,0.0060379497278405,0.982,982,0.006172826999239174
pl_g2.5_D3,pl,2.5,3,,1000,13,1000,1136,2.272,0,728,0.728,1.0,0.007940520792321265,1.0,1000,0.007940520792321265
pl_g2.5_D3,pl,2.5,3,,1000,14,1000,1126,2.252,3,742,0.742,1.0,0.006607659994274034,0.99,990,0.006665923032380706
pl_g2.5_D3,pl,2.5,3,,1000,17,1000,1126,2.252,3,742,0.742,1.0,0.006526015049702849,0.997,997,0.00654638454397623
pl_g2.5_D3,pl,2.5,3,,1000,18,1000,1125,2.25,0,751,0.751,1.0,0.00667152749021026,1.0,1000,0.00667152749021026
pl_g2.5_D3,pl,2.5,3,,1000,19,1000,1142,2.284,2,712,0.712,1.0,0.009323449278468537,0.994,994,0.009327855109746675
pl_g2.5_D3,pl,2.5,3,,10000,0,10000,11355,2.271,0,7290,0.729,1.0,0.00531589400203103,1.0,10000,0.005315894002022592
pl_g2.5_D3,pl,2.5,3,,10000,1,10000,11368,2.2736,2,7260,0.726,1.0,0.006372421978969811,0.9991,9991,0.006372641745080232
pl_g2.5_D3,pl,2.5,3,,10000,2,10000,11379,2.2758,6,7230,0.723,0.9996,0.007280722884469126,0.9992,9992,0.007281427756313796
pl_g2.5_D3,pl,2.5,3,,10000,4,10000,11337,2.2674,0,7326,0.7326,1.0,0.005252638840213653,1.0,10000,0.005252638840200996
pl_g2.5_D3,pl,2.5,3,,10000,3,9999,11357,2.2716271627162716,0,7283,0.7283728372837284,1.0,0.006784249524480757,1.0,9999,0.006784249524472985
pl_g2.5_D3,pl,2.5,3,,10000,5,10000,11309,2.2618,2,7378,0.7378,1.0,0.005746186412801446,0.9997,9997,0.005746190970408183
pl_g2.5_D3,pl,2.5,3,,10000,6,10000,11344,2.2688,2,7309,0.7309,0.9995,0.006812859243827241,0.9997,9997,0.0
pl_g2.5_D3,pl,2.5,3,,10000,8,10000,11318,2.2636,1,7362,0.7362,0.9997,0.006495905253270928,0.9999,9999,0.0
pl_g2.5_D3,pl,2.5,3,,10000,7,9998,11345,2.2694538907781556,1,7303,0.7304460892178436,1.0,0.006563229103318857,0.9998999799959992,9997,0.0065632363189431775
pl_g2.5_D3,pl,2.5,3,,10000,11,10000,11349,2.2698,1,7300,0.73,1.0,0.00603365249319654,0.9997,9997,0.006034193896112816
pl_g2.5_D3,pl,2.5,3,,10000,13,10000,11324,2.2648,0,7353,0.7353,1.0,0.0054410636314619065,1.0,10000,0.005441063631453025
pl_g2.5_D3,pl,2.5,3,,10000,12,10000,11313,2.2626,1,7372,0.7372,1.0,0.005839396910041206,0.9997,9997,0.005839411623582924
pl_g2.5_D3,pl,2.5,3,,10000,10,10000,11357,2.2714,1,7284,0.7284,1.0,0.0068338923260007345,0.9998,9998,0.006837081346049878
pl_g2.5_D3,pl,2.5,3,,10000,14,9999,11353,2.2708270827082706,0,7291,0.7291729172917292,1.0,0.004229054650630726,1.0,9999,0.004229054650616737
pl_g2.5_D3,pl,2.5,3,,10000,15,10000,11315,2.263,1,7368,0.7368,1.0,0.004594803858633867,0.9999,9999,0.00459480549240876
pl_g2.5_D3,pl,2.5,3,,10000,17,9999,11329,2.2660266026602662,2,7335,0.7335733573357336,0.9997999799979999,0.004788726613268679,0.9997999799979999,9997,0.004788726613266903
pl_g2.5_D3,pl,2.5,3,,10000,9,10000,11319,2.2638,2,7359,0.7359,1.0,0.0062652462823458155,0.9993,9993,0.006265339304940998
