=== toy-контроли: alpha в lambda2(n) ~ n^-alpha ===
         model   dbar     p2  q=2p2/dbar  a_giant    R2g   a_core    R2c
    pl_g2.5_D3   2.27  0.733       0.647   0.1062  0.999   0.0955  0.918
    pl_g2.5_D4   2.47  0.649       0.526   0.1014  1.000   0.1014  0.990
    pl_g2.5_D5   2.62  0.609       0.465   0.1302  0.996   0.1551  0.986
    pl_g2.5_D8   2.94  0.562       0.382   0.1456  0.989   0.1456  0.989
   pl_g2.5_D15   3.34  0.535       0.320   0.1424  0.971   0.1425  0.937
   pl_g2.5_D50   3.91  0.522       0.267   0.1641  0.982   0.1642  0.942
    two23_p0.4   2.60  0.399       0.307   0.0402  0.949   0.0447  0.990
    two23_p0.6   2.40  0.600       0.500   0.0866  0.981   0.0724  0.971
    two23_p0.8   2.20  0.800       0.727   0.1194  0.993   0.0915  0.995
     b234_p0.5   2.75  0.500       0.364   0.0929  0.919   0.0935  0.979
     b234_p0.7   2.45  0.700       0.571   0.1326  0.995   0.0976  0.855
       unif_D3   2.50  0.501       0.401   0.0673  0.942   0.0660  0.963
       unif_D4   3.00  0.333       0.222   0.0694  0.989   0.0695  0.989
       unif_D5   3.50  0.250       0.143   0.0601  0.956   0.0608  0.954
       unif_D6   4.00  0.199       0.099   0.0809  0.975   0.0809  0.975
       unif_D8   5.00  0.143       0.057   0.0690  0.999   0.0690  0.999
      unif_D12   7.00  0.090       0.026   0.0757  0.981   0.0757  0.981
      unif_D20  10.99  0.053       0.010   0.0639  0.960   0.0639  0.961
